buy_currency,buy_value,sell_currency,sell_value,time_stamp
5,20,4,25,7/1/17 13:48
5,20,4,25,7/1/17 13:48
5,40,4,49,7/1/17 13:48
5,19,4,23,7/1/17 13:48
5,19,4,23,7/1/17 13:48
5,5,11,6,7/1/17 13:48
5,18,4,20,7/1/17 13:48
5,9,4,10,7/1/17 13:48
5,18,4,20,7/1/17 13:48
5,10,14,11,7/1/17 13:48
5,1,310,1,7/1/17 13:48
5,1,10,1,7/1/17 13:48
5,1,16,1,7/1/17 13:48
5,1,16,1,7/1/17 13:48
5,5,2,5,7/1/17 13:48
5,1,502,1,7/1/17 13:48
5,10,4,9,7/1/17 13:48
5,25,4,20,7/1/17 13:48
5,4,4,3,7/1/17 13:48
5,19,14,10,7/1/17 13:48
5,2,163,1,7/1/17 13:48
5,2,426,1,7/1/17 13:48
5,20,13,10,7/1/17 13:48
5,45,15,1,7/1/17 13:48
5,75,6,1,7/1/17 13:48
5,79,6,1,7/1/17 13:48
5,80,6,1,7/1/17 13:48
